Year,observation_date,Median Sale Price,Inflation_Adjusted_Median_Sale_Price
1984,1984-01-01,78200,229332.9778633301
1985,1985-01-01,82800,234473.2862453532
1986,1986-01-01,88000,244651.24087591242
1987,1987-01-01,97900,262590.8961267606
1988,1988-01-01,110000,283323.92223161453
1989,1989-01-01,118000,289958.3548387097
1990,1990-01-01,123900,288849.10328997707
1991,1991-01-01,120000,268459.91189427313
1992,1992-01-01,119500,259528.78831076264
1993,1993-01-01,125000,263583.044982699
1994,1994-01-01,130000,267282.4561403509
1995,1995-01-01,130000,259916.40419947504
1996,1996-01-01,137000,266055.92096876993
1997,1997-01-01,145000,275275.95015576325
1998,1998-01-01,152200,284513.1558282208
1999,1999-01-01,157400,287875.71908763505
2000,2000-01-01,165300,292492.68641114986
2001,2001-01-01,169800,292142.2902315076
2002,2002-01-01,188700,319606.8226792662
2003,2003-01-01,186000,308013.97826086957
2004,2004-01-01,212700,343092.1937533086
2005,2005-01-01,232500,362740.47619047615
2006,2006-01-01,247700,374378.39980158734
2007,2007-01-01,257400,378265.35289521655
2008,2008-01-01,233900,331020.9230712066
2009,2009-01-01,208400,295985.7590998289
2010,2010-01-01,222900,311470.7955754485
2011,2011-01-01,226900,307358.3673796007
2012,2012-01-01,238400,316388.74186607666
2013,2013-01-01,258400,337980.8153436042
2014,2014-01-01,275200,354208.86726142204
2015,2015-01-01,289200,371786.9114873617
2016,2016-01-01,299800,380612.4804693196
2017,2017-01-01,313100,389206.0876305483
2018,2018-01-01,331800,402617.7032101853
2019,2019-01-01,313000,373045.6275400243
2020,2020-01-01,329000,387336.5428826441
2021,2021-01-01,355000,399192.5674428903
2022,2022-01-01,413500,430521.5253455434
2023,2023-01-01,429000,429000.0
