Year,Average 30-year fixed mortgage rate,Typical monthly mortgage payment,Adjusted Mortgage Payment
1971,7.54,141.65,1097.6700515075377
1972,7.38,152.16,1141.8182656934305
1973,8.04,192.09,1390.7000359154927
1974,9.19,236.01,1562.0063555793988
1975,9.05,253.94,1503.2516886756237
1976,8.86,281.12,1559.3918532374098
1977,8.85,310.56,1637.2988635897434
1978,9.64,380.27,1876.5077214399998
1979,11.2,485.67,2193.1022604685213
1980,13.74,603.12,2390.9056688946016
1981,16.67,771.64,2735.4815388505745
1982,16.06,747.41,2444.4745489925767
1983,13.24,678.37,2139.272395603272
1984,13.88,751.77,2275.354740824337
1985,11.85,685.72,2004.6227984834122
1986,10.39,667.38,1878.0231520072991
1987,10.4,759.93,2107.691823830935
1988,10.38,813.21,2167.7423385479688
1989,10.25,863.3,2198.649018166804
1990,9.97,856.45,2073.3417554945054
1991,9.09,778.5,1783.8234361069835
1992,8.27,730.85,1632.1981495293264
1993,7.17,684.88,1481.2667248246842
1994,8.28,786.07,1658.2582160738714
1995,7.86,773.12,1586.4494413838986
1996,7.76,804.59,1607.1841582253885
1997,7.57,816.66,1583.1038794468886
1998,6.91,801.28,1529.2597386138611
1999,7.46,892.19,1674.7812734631768
2000,8.08,991.02,1810.7074368483409
2001,7.01,922.24,1624.4117308966304
2002,6.57,947.51,1650.0744871259174
2003,5.89,910.67,1545.7683510731974
2004,5.88,1032.91,1720.124208801296
2005,5.93,1126.09,1821.2128973780807
2006,6.47,1228.69,1910.9878150781642
2007,6.4,1225.74,1867.6342462058333
2008,6.23,1128.32,1648.6311798370282
2009,5.38,966.6,1411.914542277035
2010,4.86,941.22,1339.6661947417242
2011,4.65,927.73,1299.2634893267277
2012,3.88,919.97,1251.778560827653
2013,4.16,1036.54,1388.2515076428692
2014,4.31,1132.72,1493.4852863421056
2015,3.99,1122.1,1480.8059480460574
2016,3.79,1136.01,1478.8566250063313
2017,4.14,1252.35,1590.5436521728386
2018,4.7,1349.6,1679.2860009601923
2019,4.13,1242.42,1522.3090243611746
2020,3.38,1161.32,1388.415094875005
2021,3.15,1316.71,1552.4605977093224
2022,5.53,1973.12,2164.4961053964453
2023,7.0,2270.15,2340.3177208610487
2024,6.9,2207.36,2207.36
