Year,observation_date,Median Sale Price,Inflation_Adjusted_Median_Sale_Price
1984,1984-01-01,78200,229332.9778633301
1984,1984-04-01,80700,236664.59480269486
1984,1984-07-01,81000,237544.38883541865
1984,1984-10-01,79900,234318.47738209818
1985,1985-01-01,82800,234473.2862453532
1985,1985-04-01,84300,238720.99070631972
1985,1985-07-01,83200,235606.00743494424
1985,1985-10-01,86800,245800.49814126396
1986,1986-01-01,88000,244651.24087591242
1986,1986-04-01,92100,256049.76459854015
1986,1986-07-01,93000,258551.87956204382
1986,1986-10-01,95000,264112.1350364964
1987,1987-01-01,97900,262590.8961267606
1987,1987-04-01,103400,277343.19366197183
1987,1987-07-01,106000,284317.0070422535
1987,1987-10-01,111500,299069.3045774648
1988,1988-01-01,110000,283323.92223161453
1988,1988-04-01,110000,283323.92223161453
1988,1988-07-01,115000,296202.28233305155
1988,1988-10-01,113900,293369.0431107354
1989,1989-01-01,118000,289958.3548387097
1989,1989-04-01,118900,292169.9016129032
1989,1989-07-01,120000,294872.9032258064
1989,1989-10-01,124800,306667.81935483875
1990,1990-01-01,123900,288849.10328997707
1990,1990-04-01,126800,295609.89747513394
1990,1990-07-01,117000,272763.07574598317
1990,1990-10-01,121500,283253.96327467484
1991,1991-01-01,120000,268459.91189427313
1991,1991-04-01,119900,268236.1953010279
1991,1991-07-01,120000,268459.91189427313
1991,1991-10-01,120000,268459.91189427313
1992,1992-01-01,119500,259528.78831076264
1992,1992-04-01,120000,260614.68282252314
1992,1992-07-01,120000,260614.68282252314
1992,1992-10-01,126000,273645.4169636493
1993,1993-01-01,125000,263583.044982699
1993,1993-04-01,127000,267800.37370242213
1993,1993-07-01,127000,267800.37370242213
1993,1993-10-01,127000,267800.37370242213
1994,1994-01-01,130000,267282.4561403509
1994,1994-04-01,130000,267282.4561403509
1994,1994-07-01,129700,266665.6504723347
1994,1994-10-01,132000,271394.4939271255
1995,1995-01-01,130000,259916.40419947504
1995,1995-04-01,133900,267713.8963254593
1995,1995-07-01,132000,263915.1181102362
1995,1995-10-01,138000,275911.25984251965
1996,1996-01-01,137000,266055.92096876993
1996,1996-04-01,139900,271687.7616316125
1996,1996-07-01,140000,271881.96303377947
1996,1996-10-01,144100,279844.2205226259
1997,1997-01-01,145000,275275.95015576325
1997,1997-04-01,145800,276794.7140186916
1997,1997-07-01,145000,275275.95015576325
1997,1997-10-01,144200,273757.1862928349
1998,1998-01-01,152200,284513.1558282208
1998,1998-04-01,149500,279465.9447852761
1998,1998-07-01,153000,286008.62576687115
1998,1998-10-01,153000,286008.62576687115
1999,1999-01-01,157400,287875.71908763505
1999,1999-04-01,158700,290253.3457382953
1999,1999-07-01,159100,290984.9231692677
1999,1999-10-01,165300,302324.37334933976
2000,2000-01-01,165300,292492.68641114986
2000,2000-04-01,163200,288776.80836236937
2000,2000-07-01,168800,298685.81649245066
2000,2000-10-01,172900,305940.6260162602
2001,2001-01-01,169800,292142.2902315076
2001,2001-04-01,179000,307970.96555618296
2001,2001-07-01,172500,296787.66233766236
2001,2001-10-01,171100,294378.9508752118
2002,2002-01-01,188700,319606.8226792662
2002,2002-04-01,187200,317066.2279043913
2002,2002-07-01,178100,301653.2862701501
2002,2002-10-01,190100,321978.04446914955
2003,2003-01-01,186000,308013.97826086957
2003,2003-04-01,191800,317618.7152173913
2003,2003-07-01,191900,317784.31413043477
2003,2003-10-01,198800,329210.6391304348
2004,2004-01-01,212700,343092.1937533086
2004,2004-04-01,217600,350996.05717310746
2004,2004-07-01,213500,344382.6204340921
2004,2004-10-01,228800,369062.03070407617
2005,2005-01-01,232500,362740.47619047615
2005,2005-04-01,233700,364612.6850998464
2005,2005-07-01,236400,368825.1551459293
2005,2005-10-01,243600,380058.4086021505
2006,2006-01-01,247700,374378.39980158734
2006,2006-04-01,246300,372262.41369047615
2006,2006-07-01,235600,356090.23412698414
2006,2006-10-01,245400,370902.1369047619
2007,2007-01-01,257400,378265.35289521655
2007,2007-04-01,242200,355928.0049387003
2007,2007-07-01,241800,355340.1799924761
2007,2007-10-01,238400,350343.6679495712
2008,2008-01-01,233900,331020.9230712066
2008,2008-04-01,235300,333002.23684760544
2008,2008-07-01,226500,320548.26453881274
2008,2008-10-01,222500,314887.36803481606
2009,2009-01-01,208400,295985.7590998289
2009,2009-04-01,220900,313739.2235371987
2009,2009-07-01,214300,304365.39431426744
2009,2009-10-01,219000,311040.6969427185
2010,2010-01-01,222900,311470.7955754485
2010,2010-04-01,219500,306719.7829915251
2010,2010-07-01,224100,313147.623546245
2010,2010-10-01,224300,313427.09487471107
2011,2011-01-01,226900,307358.3673796007
2011,2011-04-01,228100,308983.8854089331
2011,2011-07-01,223500,302752.7329631589
2011,2011-10-01,221100,299501.69690449414
2012,2012-01-01,238400,316388.74186607666
2012,2012-04-01,238700,316786.8820613779
2012,2012-07-01,248800,330190.93530318735
2012,2012-10-01,251700,334039.62385776633
2013,2013-01-01,258400,337980.8153436042
2013,2013-04-01,268100,350668.17567190516
2013,2013-07-01,264800,346351.85720969964
2013,2013-10-01,273600,357862.0397755809
2014,2014-01-01,275200,354208.86726142204
2014,2014-04-01,288000,370683.698296837
2014,2014-07-01,281000,361674.0250743444
2014,2014-10-01,298900,384713.04660043254
2015,2015-01-01,289200,371786.9114873617
2015,2015-04-01,289100,371658.3544640258
2015,2015-07-01,295800,380271.67502752965
2015,2015-10-01,302500,388884.99559103354
2016,2016-01-01,299800,380612.4804693196
2016,2016-04-01,306000,388483.71922485594
2016,2016-07-01,303800,385690.69902127853
2016,2016-10-01,310900,394704.5369510056
2017,2017-01-01,313100,389206.0876305483
2017,2017-04-01,318200,395545.75881201046
2017,2017-07-01,320500,398404.8262075718
2017,2017-10-01,337900,420034.2925913838
2018,2018-01-01,331800,402617.7032101853
2018,2018-04-01,315600,382960.0576646609
2018,2018-07-01,330900,401525.61179098947
2018,2018-10-01,322800,391696.78901822725
2019,2019-01-01,313000,373045.6275400243
2019,2019-04-01,322500,384368.0986634436
2019,2019-07-01,318400,379481.55849438894
2019,2019-10-01,327100,389850.5583653098
2020,2020-01-01,329000,387336.5428826441
2020,2020-04-01,317100,373326.4977145485
2020,2020-07-01,327900,386041.4966906353
2020,2020-10-01,338600,398638.7641947213
2021,2021-01-01,355000,399192.5674428903
2021,2021-04-01,367800,413585.9895929438
2021,2021-07-01,395200,444396.9088829021
2021,2021-10-01,414000,465537.2476657932
2022,2022-01-01,413500,430521.5253455434
2022,2022-04-01,437700,455717.70651449665
2022,2022-07-01,438000,456030.05586783076
2022,2022-10-01,442600,460819.4126189541
2023,2023-01-01,429000,429000.0
2023,2023-04-01,418500,418500.0
2023,2023-07-01,435400,435400.0
2023,2023-10-01,423200,423200.0
